Institutional_Owner,Shelfmark,Title,Publisher,Creator,Type_of_Content,Date_of_Map,Technique,Subject,Annotation,Rights,Language,Date_of_Publication,Distribution_Format,Geographic_Location,Scale_of_Map,Reference_System,Mapping_Methods,Map_Format,Source_Materials,Pagination,Annotation_Edition,Annotation_Library_Index,Other_Annotation,PPN,Region_Keyword,Additional_Signature,Item_URL,OCLC_number,Date_created,Date_modified,CONTENTdm_number,CONTENTdm_file_name,CONTENTdm_file_path
,uklu 01-29-18,"Kaart van de provincie ""Stad en Lande"" in de laatste helft der 17e eeuw",[Groningen : Hoitsema] ; Groningen : steendr. v.d. Weijer,"Koster, J.P.",,1874,,kb-1874-grp-senl-152  krt-1872-grp-senl,,,,,,74.20 geografie van Nederland |,Schaal 1:150.000,,,61 x 51 cm,kleurenlithografie,1 krt,,,geplakt op linnen | Bibliotheek Backer |,169176452,4.210.230 Groningen (provincie) |,BACKER PORT 07 NO15 | BACKER LIJST r59 | ; krt-1872-grp-senl,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/801,,2012-10-24,2012-10-24,801,6402.cpd,/Kaarten/image/6402.cpd
,uklu 01-04-50,"[Kaart van Friesland, Groningen, Drenthe en Overijssel]",[S.l. : s.n.],"Daventriensis, Jacobus",,18XX,,krt-1550-nne-facs,"Volgens aantekening onder de kaart is de auteur Jacobus Daventriensis | Origineel beschreven in: Vredenberg-Alink, De kaarten van Groningerland I B 3 |",,,,,74.20 geografie van Nederland |,[ca. 1:550.000],,,"19,5 x 16,5 cm",,1 facsimilekrt,,,Geplakt op karton | Bibliotheek Backer |,154989061,4.210.200 Noord-Nederland | 4.210.270 Overijssel |,BACKER PORT 11 NO05 | BB portef. XI nr. 5 | ; krt-1550-nne-facs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/803,,2012-10-24,2012-10-24,803,6404.cpd,/Kaarten/image/6404.cpd
,uklu 01-13-06,"Groninga, opulenta populosa, et valide contra hostiles insultus munita Phrisiae vrbs : Ptolemaeo Phileum constructa et denominata a Grunno Anthenoris regis Francorum fratre, anno ante incarnationem Christi CCCLXXVII vt Hunibaldus scribit",[S.l. : s.n.],,,1575,,krt-1575-grs Kleurendia,,,,,,74.20 geografie van Nederland |,[ca. 1:4.000],,,"31,5 x 43 cm",kopergravure,1 vogelvluchtplgr,,Verso: Grvnivs ... [tekst in het Frans] |,"Gekleurd, de randen afgesneden, geplakt op linnen; Bibliotheek Backer",151800677,4.210.230 Groningen (stad) |,BACKER PORT 09 NO11 | BB portef. IX nr. 11 | ; krt-1575-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/805,,2012-10-24,2021-07-14,805,6406.cpd,/Kaarten/image/6406.cpd
,uklu 01-01-35,"Icon ciuitatis Campensis : cuius situs, Isulam fluuium : eleganti venustate, decorat",,"Braun, Georg",,1575,,krt-1575-ove  krt-1575-ove-v  krt-1575-ove-a  krt-1575-ove-v-a,"Genummerd op verso: 30 | Beschreven in: Koeman, Atlantes Neerlandici II p. 17 |",,,,,74.20 geografie van Nederland |,,,,"33 x 48,5 cm",,1 topografisch aangezicht,Afkomstig uit een editie van,Verso: Urbs Campensis [tekst in het Latijn] |,Gekleurd | Gekleurd |,160344905,4.210.270 Kampen (Overijssel) |,krt-1575-ove,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/810,,2012-10-24,2012-10-24,810,6411.cpd,/Kaarten/image/6411.cpd
,uklu 01-13-10,Goricum : nobile Hollandiae oppidum ; Broversavia : eius insul[a]e in Zelandia oppidum ... ; Groeninga : sive vt alij Gruninga Frisiae urbs ...,S.l. : s.n.,"Braun, Georg",,1576,,krt-1576-grs  krt-1576-grs-v,"Genummerd op verso: 21 | Beschreven in: Koeman, Atlantes Neerlandici II p. 15 [21] | Jaar van uitg. 1576 of later |",,,,,74.20 geografie van Nederland |,,,,15 x 45 cm of kleiner,gravure,3 topografische aangezichten op 1 blad,,Verso : Groninga ; Broversavia ; Goricum (tekst in het Latijn) |,Geplakt op linnen | Bibliotheek Backer |,154312789,4.210.230 Groningen (stad) | 4.210.410 Brouwershaven | 4.210.110 Gorinchem |,BACKER PORT 10 NO07 | BB portef. 10 nr. 7 | ; krt-1576-grs,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/813,,2012-10-24,2012-10-24,813,6414.cpd,/Kaarten/image/6414.cpd
,uklu 01-25-18,"Barbariae et Biledvlgerid, nova descriptio",[Antwerpen : Plantijn],"Ortelius, Abraham",,1579,,krt-1579-afr  krt-1579-afr-v,"Met privilege | Beschreven in: Koeman, Atlantes Neerlandici III p. 56 [53] |",,,,,74.23 geografie van Afrika |,[ca. 1:8.250.000],,,33 x 50 cm,kopergravure,1 krt,,Verso : Barbaria et Biledulgerid [tekst i.h. Lat.] |,gekleurd |,141206519,6.100 Noord-Afrika |,krt-1579-afr,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/816,,2012-10-24,2012-10-24,816,6417.cpd,/Kaarten/image/6417.cpd
,uklu 01-23-22,"Franicher : nobilium hominum, in Frisia Occidentali, vt plurimum saedes",S.l. : s.n.,,,1581,,krt-1581-frw-fra,,,,,,74.20 geografie van Nederland |,[ca. 1:3.600],,,"30,5 x 19,5 cm",kopergrav,1 plgr,,,"handgekleurd, bovenaan wat beschadigd | Legaat Mijjer, collectie Hallema |",118574043,4.210.210 Franeker |,krt-1581-frw-fra,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/818,,2012-10-24,2021-07-14,818,6419.cpd,/Kaarten/image/6419.cpd
,uklu 01-01-23,Arnhemivm : Gelriae in ripa Rheni opp.,[S.l. : s.n.],"Braun, Georg",,1583,,krt-1583-gel  krt-1583-gel-v,"Beschreven in: Koeman, Atlantes Neerlandici II p. 18 [17] | Lit.: B. van 't Hoff, bijdrage tot de datering der oudere Nederlandse stadsplattegronden. In: Nederlandsch archievenblad 49 (1942/1943) |",,,,,74.20 geografie van Nederland |,[ca 1:4.500],,,19 x 27 cm,kopergravure,1 plgr,,Verso: Arnhem [tekst in het Frans] |,"Gekleurd, de randen afgesneden |",146942124,4.210.310 Arnhem |,krt-1583-gel,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/821,,2012-10-24,2012-10-24,821,6422.cpd,/Kaarten/image/6422.cpd
,uklu 01-18-22,"Berga ad Somam : Brabantiae opp[idum] á fluuioso sic dicto, qui eam irrigat [...]",[S.l. : s.n.],"Braun, Georg",,1588,,krt-1588-nbr-dui  krt-1588-nbr-dui-v,"Andere titel op de kaart: Bergen op Zoom | Genummerd op verso : 14 | Beschreven in : Koeman, Atlantes Neerlandici I p.18, 14 | Lit.: Civitates orbis terrarum / [G.] Braun & [F.] Hogenberg ; with an introd. by R.A. Skelton. [Facs. ed.] . Amsterdam 1965 vol. 1 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.500],,,"34 x 38,5 cm",gravure,1 vogelvluchtplgr,,Verso : Bergen an der Zoom [tekst in het Duits] |,Gekleurd |,160366259,4.210.430 Bergen op Zoom (stad) |,krt-1588-nbr-dui,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/824,,2012-10-24,2012-10-24,824,6425.cpd,/Kaarten/image/6425.cpd
,uklu 01-18-21,"Berga ad Somam : Brabantiae opp[idum] á fluuioso sic dicto, qui eam irrigat [...]",[S.l. : s.n.],"Braun, Georg",,1588,,krt-1588-nbr-fra  krt-1588-nbr-fra-v,"Andere titel op de kaart: Bergen op Zoom | Genummerd op verso : 14 | Beschreven in : Koeman, Atlantes Neerlandici I p.18, 14 | Lit.: Civitates orbis terrarum / [G.] Braun & [F.] Hogenberg ; with an introd. by R.A. Skelton. [Facs. ed.] . Amsterdam 1965 vol. 1 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.500],,,"34 x 38,5 cm",gravure,1 vogelvluchtplgr,,Verso : Berghen sur la Zoom [tekst in het Frans] |,,160366097,4.210.430 Bergen op Zoom (stad) |,krt-1588-nbr-fra,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/827,,2012-10-24,2012-10-24,827,6428.cpd,/Kaarten/image/6428.cpd
,uklu 01-01-37,"Vrbis Campensis, ad Isalam flvvivm, icon",[S.l. : s.n.],"Braun, Georg",,1588,,krt-1588-ove-dui  krt-1588-ove-dui-v,"Genummer op verso: 34 | Beschr. in: Koeman, Atlantes Neerlandici II p. 19, 34 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.800],,,34 x 48 cm,kopergravure,1 plgr,,Verso: Campen [tekst in het Duits] |,Gekleurd |,160345766,4.210.270 Kampen (Overijssel) |,krt-1588-ove-dui,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/830,,2012-10-24,2012-10-24,830,6431.cpd,/Kaarten/image/6431.cpd
,uklu 01-01-38,"Vrbis Campensis, ad Isalam flvvivm, icon",[S.l. : s.n.],"Braun, Georg",,1588,,krt-1588-ove-lat  krt-1588-ove-lat-v,"Beschr. in: Koeman, Atlantes Neerlandici II p. 19, 34 |",,,,,74.20 geografie van Nederland |,[ca. 1:3.800],,,34 x 48 cm,kopergravure,1 plgr,,Linksonder lijst van gebouwen | Verso: Campena [tekst in het Latijn] |,Gekleurd |,160347122,4.210.270 Kampen (Overijssel) |,krt-1588-ove-lat,http://cdm21053.contentdm.oclc.org/cdm/ref/collection/Kaarten/id/833,,2012-10-24,2012-10-24,833,6434.cpd,/Kaarten/image/6434.cpd
